strain_id,strain_name,strain_description,parents,background,mat,genotype,allele_id,gene_id,freezer,shelf,rack,pullout,insert,row,column,owner,date,publications,tags,strain_notes,warnings,filemaker
rec351,gpb2,a-haploid KanMX disruption of GPB2 (S000000052) in BY background,NA,BY4741,a,NA,S000000052-KanMX,S000000052,,,,,,,,,,,,NA,,
rec352,pex22,a-haploid KanMX disruption of PEX22 (S000000051) in BY background,NA,BY4741,a,NA,S000000051-KanMX,S000000051,,,,,,,,,,,,NA,,
rec354,flc2,a-haploid KanMX disruption of FLC2 (S000000049) in BY background,NA,BY4741,a,NA,S000000049-KanMX,S000000049,,,,,,,,,,,,NA,,
rec355,oaf1,a-haploid KanMX disruption of OAF1 (S000000048) in BY background,NA,BY4741,a,NA,S000000048-KanMX,S000000048,,,,,,,,,,,,NA,,
rec356,aim2,a-haploid KanMX disruption of AIM2 (S000000047) in BY background,NA,BY4741,a,NA,S000000047-KanMX,S000000047,,,,,,,,,,,,NA,,
rec357,gem1,a-haploid KanMX disruption of GEM1 (S000000046) in BY background,NA,BY4741,a,NA,S000000046-KanMX,S000000046,,,,,,,,,,,,NA,,
rec359,aim1,a-haploid KanMX disruption of AIM1 (S000000044) in BY background,NA,BY4741,a,NA,S000000044-KanMX,S000000044,,,,,,,,,,,,NA,,
rec360,yal045c,a-haploid KanMX disruption of YAL045C (S000000043) in BY background,NA,BY4741,a,NA,S000000043-KanMX,S000000043,,,,,,,,,,,,NA,,
rec361,gcv3,a-haploid KanMX disruption of GCV3 (S000000042) in BY background,NA,BY4741,a,NA,S000000042-KanMX,S000000042,,,,,,,,,,,,NA,,
rec363,erv46,a-haploid KanMX disruption of ERV46 (S000000040) in BY background,NA,BY4741,a,NA,S000000040-KanMX,S000000040,,,,,,,,,,,,NA,,
rec364,yal042c-a,a-haploid KanMX disruption of YAL042C-A (S000002138) in BY background,NA,BY4741,a,NA,S000002138-KanMX,S000002138,,,,,,,,,,,,NA,,
rec366,cln3,a-haploid KanMX disruption of CLN3 (S000000038) in BY background,NA,BY4741,a,NA,S000000038-KanMX,S000000038,,,,,,,,,,,,NA,,
rec367,cyc3,a-haploid KanMX disruption of CYC3 (S000000037) in BY background,NA,BY4741,a,NA,S000000037-KanMX,S000000037,,,,,,,,,,,,NA,,
rec369,yal037w,a-haploid KanMX disruption of YAL037W (S000000035) in BY background,NA,BY4741,a,NA,S000000035-KanMX,S000000035,,,,,,,,,,,,NA,,
rec370,rbg1,a-haploid KanMX disruption of RBG1 (S000000034) in BY background,NA,BY4741,a,NA,S000000034-KanMX,S000000034,,,,,,,,,,,,NA,,
rec371,fun12,a-haploid KanMX disruption of FUN12 (S000000033) in BY background,NA,BY4741,a,NA,S000000033-KanMX,S000000033,,,,,,,,,,,,NA,,
rec374,fun19,a-haploid KanMX disruption of FUN19 (S000002134) in BY background,NA,BY4741,a,NA,S000002134-KanMX,S000002134,,,,,,,,,,,,NA,,
